symbol,expiration,strike,right,created,last_trade,open,high,low,close,volume,count,bid_size,bid_exchange,bid,bid_condition,ask_size,ask_exchange,ask,ask_condition
"AAPL","2025-12-19",262.500,"PUT",2025-11-24T17:20:14.919,2025-11-24T15:50:02.053,2.67,3.10,2.17,2.29,167,55,63,76,2.36,50,33,7,2.39,50
"AAPL","2025-12-19",262.500,"PUT",2025-11-25T17:22:32.466,2025-11-25T15:56:06.154,2.21,2.21,1.61,1.73,3858,329,19,69,1.76,50,1,4,1.81,50
"AAPL","2025-12-19",262.500,"PUT",2025-11-26T17:15:30.257,2025-11-26T15:53:00.116,1.48,1.62,1.21,1.32,274,50,17,60,1.32,50,62,1,1.36,50
"AAPL","2025-12-19",262.500,"PUT",2025-11-28T17:25:12.489,2025-11-28T12:53:07.564,1.36,1.52,1.10,1.10,113,44,38,69,1.01,50,30,47,1.05,50
"AAPL","2025-12-19",262.500,"PUT",2025-12-01T17:23:04.504,2025-12-01T15:54:38.178,1.17,1.50,0.74,0.74,706,165,47,76,0.66,50,48,4,0.70,50
"AAPL","2025-12-19",262.500,"PUT",2025-12-02T17:15:18.719,2025-12-02T15:49:18.752,0.61,0.63,0.48,0.50,1225,145,104,1,0.46,50,13,42,0.48,50
"AAPL","2025-12-19",262.500,"PUT",2025-12-03T17:19:14.083,2025-12-03T15:55:05.226,0.43,0.51,0.42,0.51,2794,105,105,5,0.47,50,27,47,0.50,50
"AAPL","2025-12-19",262.500,"PUT",2025-12-04T17:19:47.118,2025-12-04T15:53:58.967,0.55,0.76,0.55,0.65,296,51,188,4,0.52,50,189,4,0.60,50
"AAPL","2025-12-19",262.500,"PUT",2025-12-05T17:17:27.22,2025-12-05T15:55:00.978,0.57,0.63,0.46,0.56,1716,84,53,42,0.50,50,60,11,0.56,50
"AAPL","2025-12-19",262.500,"PUT",2025-12-08T17:16:12.602,2025-12-08T15:59:55.517,0.42,0.70,0.42,0.52,499,73,76,1,0.50,50,76,1,0.52,50
"AAPL","2025-12-19",262.500,"PUT",2025-12-09T17:17:23.994,2025-12-09T15:58:45.445,0.44,0.53,0.36,0.52,196,57,40,60,0.48,50,17,47,0.51,50
"AAPL","2025-12-19",262.500,"PUT",2025-12-10T17:18:55.721,2025-12-10T15:59:10.377,0.48,0.49,0.24,0.27,289,63,7,7,0.26,50,19,69,0.28,50
"AAPL","2025-12-19",262.500,"PUT",2025-12-11T17:15:46.12,2025-12-11T15:59:03.923,0.30,0.61,0.22,0.22,685,179,1,22,0.22,50,184,5,0.23,50
"AAPL","2025-12-19",262.500,"PUT",2025-12-12T17:16:38.02,2025-12-12T15:59:48.859,0.20,0.32,0.15,0.22,3813,235,148,5,0.20,50,22,76,0.22,50
"AAPL","2025-12-19",262.500,"PUT",2025-12-15T17:19:33.181,2025-12-15T15:59:29.073,0.14,0.36,0.12,0.20,4231,615,90,42,0.20,50,67,1,0.21,50
"AAPL","2025-12-19",262.500,"PUT",2025-12-16T17:18:32.526,2025-12-16T15:59:14.031,0.26,0.33,0.09,0.11,3404,629,278,5,0.10,50,280,5,0.12,50
"AAPL","2025-12-19",262.500,"PUT",2025-12-17T17:15:49.308,2025-12-17T15:59:06.139,0.09,0.20,0.06,0.17,2429,382,60,7,0.18,50,85,1,0.20,50
"AAPL","2025-12-19",262.500,"PUT",2025-12-18T17:21:14.751,2025-12-18T15:59:28.812,0.05,0.58,0.05,0.07,7945,1452,219,43,0.06,50,117,43,0.09,50
"AAPL","2025-12-19",262.500,"PUT",2025-12-19T17:17:23.289,2025-12-19T15:59:37.082,0.03,0.07,0.01,0.01,10584,326,0,65,0.00,50,19,7,0.01,50

