symbol,expiration,strike,right,created,last_trade,open,high,low,close,volume,count,bid_size,bid_exchange,bid,bid_condition,ask_size,ask_exchange,ask,ask_condition
"AAPL","2025-09-19",257.500,"CALL",2025-09-04T17:15:03.374,2025-09-04T15:55:33.452,0.21,0.32,0.19,0.26,385,44,351,5,0.25,50,422,46,0.27,50
"AAPL","2025-09-19",257.500,"CALL",2025-09-05T17:15:16.498,2025-09-05T15:59:41.837,0.26,0.32,0.21,0.21,364,57,86,5,0.20,50,313,1,0.22,50
"AAPL","2025-09-19",257.500,"CALL",2025-09-08T17:24:30.039,2025-09-08T15:45:26.106,0.19,0.19,0.15,0.17,1602,63,201,42,0.17,50,6,7,0.18,50
"AAPL","2025-09-19",257.500,"CALL",2025-09-09T17:22:06.571,2025-09-09T15:50:55.619,0.15,0.25,0.09,0.10,670,143,85,7,0.08,50,159,46,0.09,50
"AAPL","2025-09-19",257.500,"CALL",2025-09-10T17:21:04.64,2025-09-10T15:53:49.088,0.08,0.08,0.04,0.06,1234,66,10,47,0.05,50,36,31,0.06,50
"AAPL","2025-09-19",257.500,"CALL",2025-09-11T17:22:35.481,2025-09-11T15:48:34.789,0.05,0.05,0.04,0.05,689,44,76,42,0.04,50,53,42,0.05,50
"AAPL","2025-09-19",257.500,"CALL",2025-09-12T17:15:16.622,2025-09-12T15:57:42.482,0.05,0.06,0.03,0.05,1496,116,64,42,0.03,50,93,7,0.05,50
"AAPL","2025-09-19",257.500,"CALL",2025-09-15T17:18:22.353,2025-09-15T15:54:15.253,0.05,0.06,0.02,0.03,809,124,162,42,0.02,50,7,69,0.03,50
"AAPL","2025-09-19",257.500,"CALL",2025-09-16T17:18:44.68,2025-09-16T15:59:15.352,0.03,0.09,0.03,0.04,2254,184,103,42,0.03,50,28,47,0.04,50
"AAPL","2025-09-19",257.500,"CALL",2025-09-17T17:15:20.52,2025-09-17T15:51:34.787,0.05,0.05,0.02,0.02,968,114,69,42,0.02,50,134,42,0.03,50
"AAPL","2025-09-19",257.500,"CALL",2025-09-18T17:22:31.302,2025-09-18T15:15:12.655,0.03,0.03,0.01,0.01,632,72,0,42,0.00,50,7,7,0.01,50
"AAPL","2025-09-19",257.500,"CALL",2025-09-19T17:23:40.265,2025-09-19T15:48:51.736,0.01,0.03,0.01,0.01,286,36,0,22,0.00,50,42,76,0.01,50

