symbol,expiration,strike,right,created,last_trade,open,high,low,close,volume,count,bid_size,bid_exchange,bid,bid_condition,ask_size,ask_exchange,ask,ask_condition
"AAPL","2025-10-17",252.500,"CALL",2025-09-22T17:15:58.36,2025-09-22T15:59:36.039,4.85,9.25,4.82,8.90,3546,968,10,11,8.75,50,24,43,8.90,50
"AAPL","2025-10-17",252.500,"CALL",2025-09-23T17:24:20.296,2025-09-23T15:58:39.852,8.70,9.45,7.10,7.47,738,214,37,5,7.50,50,6,46,7.65,50
"AAPL","2025-10-17",252.500,"CALL",2025-09-24T17:25:09.317,2025-09-24T15:58:46.624,8.00,8.00,5.45,6.01,1371,370,10,11,5.90,50,7,5,6.10,50
"AAPL","2025-10-17",252.500,"CALL",2025-09-25T17:22:31.074,2025-09-25T15:59:54.037,6.70,9.10,5.80,8.78,1673,376,43,76,8.65,50,7,69,8.90,50
"AAPL","2025-10-17",252.500,"CALL",2025-09-26T17:19:25.164,2025-09-26T15:59:16.715,6.84,8.60,6.75,7.35,739,175,22,11,7.25,50,27,76,7.40,50
"AAPL","2025-10-17",252.500,"CALL",2025-09-29T17:19:43.02,2025-09-29T15:59:16.688,6.35,6.55,5.75,6.32,825,234,12,7,6.30,50,23,11,6.40,50
"AAPL","2025-10-17",252.500,"CALL",2025-09-30T17:16:45.586,2025-09-30T15:57:18.868,6.60,7.17,5.55,6.45,705,177,42,4,6.05,50,10,5,6.40,50
"AAPL","2025-10-17",252.500,"CALL",2025-10-01T17:15:33.84,2025-10-01T15:54:40.119,6.15,9.32,6.15,7.00,946,214,36,4,6.80,50,56,43,6.90,50
"AAPL","2025-10-17",252.500,"CALL",2025-10-02T17:15:51.105,2025-10-02T15:59:03.969,7.49,8.45,6.00,7.80,1297,231,22,76,7.65,50,23,42,7.90,50
"AAPL","2025-10-17",252.500,"CALL",2025-10-03T17:17:22.027,2025-10-03T15:53:10.043,6.07,8.86,5.58,7.80,1243,281,10,11,7.95,50,8,7,8.10,50
"AAPL","2025-10-17",252.500,"CALL",2025-10-06T17:15:57.486,2025-10-06T15:58:40.419,7.62,8.72,6.10,6.95,909,254,50,4,6.85,50,15,43,6.95,50
"AAPL","2025-10-17",252.500,"CALL",2025-10-07T17:15:53.118,2025-10-07T15:56:45.451,7.17,7.20,5.99,6.55,692,183,8,22,6.40,50,5,7,6.55,50
"AAPL","2025-10-17",252.500,"CALL",2025-10-08T17:15:04.028,2025-10-08T15:57:45.043,6.34,7.78,6.10,7.35,874,301,21,42,7.30,50,40,42,7.40,50
"AAPL","2025-10-17",252.500,"CALL",2025-10-09T17:22:48.063,2025-10-09T15:59:48.786,6.95,6.95,4.05,4.37,4265,760,39,6,4.35,50,27,46,4.50,50
"AAPL","2025-10-17",252.500,"CALL",2025-10-10T17:21:55.676,2025-10-10T15:59:58.835,4.75,5.60,1.34,1.43,10659,1916,56,43,1.33,50,10,7,1.43,50
"AAPL","2025-10-17",252.500,"CALL",2025-10-13T17:15:35.726,2025-10-13T15:59:51.525,2.13,2.24,0.93,1.02,14840,2393,102,43,1.01,50,28,42,1.04,50
"AAPL","2025-10-17",252.500,"CALL",2025-10-14T17:17:06.143,2025-10-14T15:59:59.085,0.94,1.24,0.55,0.88,19992,3367,7,69,0.88,50,15,1,0.91,50
"AAPL","2025-10-17",252.500,"CALL",2025-10-15T17:24:19.603,2025-10-15T15:59:59.909,1.23,2.00,0.66,0.87,36185,7864,523,4,0.87,50,25,60,0.91,50
"AAPL","2025-10-17",252.500,"CALL",2025-10-16T17:15:32.255,2025-10-16T15:59:59.605,0.52,0.53,0.12,0.18,29795,4060,63,42,0.16,50,2,1,0.18,50
"AAPL","2025-10-17",252.500,"CALL",2025-10-17T17:24:13.516,2025-10-17T15:59:59.18,0.15,0.95,0.03,0.05,120973,13558,61,42,0.04,50,2,7,0.07,50

