symbol,expiration,strike,right,created,last_trade,open,high,low,close,volume,count,bid_size,bid_exchange,bid,bid_condition,ask_size,ask_exchange,ask,ask_condition
"AAPL","2025-09-19",262.500,"CALL",2025-09-08T17:24:30.039,2025-09-08T15:59:57.711,0.10,0.11,0.08,0.10,281,37,110,7,0.09,50,21,1,0.10,50
"AAPL","2025-09-19",262.500,"CALL",2025-09-09T17:22:06.571,2025-09-09T15:50:01.781,0.09,0.14,0.05,0.06,319,31,16,46,0.04,50,41,7,0.05,50
"AAPL","2025-09-19",262.500,"CALL",2025-09-10T17:21:04.64,2025-09-10T15:46:51.313,0.03,0.04,0.02,0.04,155,21,34,7,0.03,50,72,43,0.04,50
"AAPL","2025-09-19",262.500,"CALL",2025-09-11T17:22:35.481,2025-09-11T15:47:21.509,0.02,0.03,0.02,0.02,144,14,22,47,0.02,50,16,47,0.03,50
"AAPL","2025-09-19",262.500,"CALL",2025-09-12T17:15:16.622,2025-09-12T15:49:28.369,0.03,0.04,0.02,0.02,231,33,26,69,0.02,50,27,69,0.03,50
"AAPL","2025-09-19",262.500,"CALL",2025-09-15T17:18:22.353,2025-09-15T15:23:11.648,0.02,0.04,0.01,0.02,351,95,165,42,0.01,50,52,42,0.02,50
"AAPL","2025-09-19",262.500,"CALL",2025-09-16T17:18:44.68,2025-09-16T14:35:33.212,0.01,0.04,0.01,0.03,307,68,38,69,0.02,50,74,42,0.03,50
"AAPL","2025-09-19",262.500,"CALL",2025-09-17T17:15:20.52,2025-09-17T15:56:21.761,0.03,0.03,0.01,0.01,334,56,121,42,0.01,50,57,42,0.02,50
"AAPL","2025-09-19",262.500,"CALL",2025-09-18T17:22:31.302,2025-09-18T11:16:26.908,0.02,0.02,0.01,0.01,45,7,0,7,0.00,50,15,4,0.01,50
"AAPL","2025-09-19",262.500,"CALL",2025-09-19T17:23:40.265,2025-09-19T15:28:25.135,0.01,0.01,0.01,0.01,115,13,0,31,0.00,50,7,5,0.01,50

