symbol,expiration,strike,right,created,last_trade,open,high,low,close,volume,count,bid_size,bid_exchange,bid,bid_condition,ask_size,ask_exchange,ask,ask_condition
"AAPL","2026-02-20",257.500,"CALL",2026-01-20T17:16:37.499,2026-01-20T15:56:49.838,6.70,6.70,3.90,4.25,258,69,21,69,4.25,50,34,4,4.80,50
"AAPL","2026-02-20",257.500,"CALL",2026-01-21T17:19:44.828,2026-01-21T15:55:33.87,4.50,5.60,3.77,4.20,595,115,39,4,4.20,50,58,4,4.35,50
"AAPL","2026-02-20",257.500,"CALL",2026-01-22T17:15:23.643,2026-01-22T15:48:56.181,4.80,5.15,4.23,4.40,254,134,148,11,4.15,50,92,11,4.30,50
"AAPL","2026-02-20",257.500,"CALL",2026-01-23T17:15:32.233,2026-01-23T15:58:17.371,2.00,4.30,2.00,4.15,269,102,48,5,4.05,50,24,76,4.15,50
"AAPL","2026-02-20",257.500,"CALL",2026-01-26T17:15:18.337,2026-01-26T15:59:57.217,5.35,7.60,4.98,7.11,1464,291,55,4,6.95,50,72,69,7.15,50
"AAPL","2026-02-20",257.500,"CALL",2026-01-27T17:23:46.391,2026-01-27T15:59:09.602,8.77,10.35,8.20,8.20,741,173,24,76,8.15,50,39,65,8.30,50
"AAPL","2026-02-20",257.500,"CALL",2026-01-28T17:16:18.916,2026-01-28T15:59:53.202,7.80,8.20,6.40,7.32,802,148,17,42,7.15,50,100,4,7.70,50
"AAPL","2026-02-20",257.500,"CALL",2026-01-29T17:22:00.526,2026-01-29T15:59:49.628,8.30,9.30,6.76,8.86,1608,383,1,22,8.50,50,5,4,9.35,50
"AAPL","2026-02-20",257.500,"CALL",2026-01-30T17:18:49.734,2026-01-30T15:59:39.009,5.94,8.85,4.35,7.60,4037,706,1,7,6.95,50,7,7,7.35,50
"AAPL","2026-02-20",257.500,"CALL",2026-02-02T17:15:19.535,2026-02-02T15:58:23.327,8.20,14.70,7.50,14.35,997,318,104,9,13.45,50,10,11,15.00,50
"AAPL","2026-02-20",257.500,"CALL",2026-02-03T17:21:36.455,2026-02-03T15:53:10.015,13.77,16.00,12.59,14.00,271,107,10,11,13.85,50,26,11,14.55,50
"AAPL","2026-02-20",257.500,"CALL",2026-02-04T17:21:47.385,2026-02-04T15:58:36.422,16.40,22.20,16.40,20.50,243,105,5,7,20.10,50,2,7,20.30,50
"AAPL","2026-02-20",257.500,"CALL",2026-02-05T17:16:28.83,2026-02-05T15:54:02.389,21.35,21.35,18.00,19.75,331,73,38,76,19.10,50,58,76,20.60,50
"AAPL","2026-02-20",257.500,"CALL",2026-02-06T17:23:52.203,2026-02-06T15:59:01.023,22.40,23.95,20.55,21.65,111,45,15,76,21.30,50,16,76,21.50,50
"AAPL","2026-02-20",257.500,"CALL",2026-02-09T17:18:44.562,2026-02-09T15:59:30.184,17.55,18.25,15.64,18.25,28,19,10,76,17.80,50,55,76,18.35,50
"AAPL","2026-02-20",257.500,"CALL",2026-02-10T17:16:45.635,2026-02-10T15:54:40.161,17.55,18.40,16.65,16.90,50,20,14,60,16.85,50,120,4,18.00,50
"AAPL","2026-02-20",257.500,"CALL",2026-02-11T17:20:03.2,2026-02-11T15:54:06.532,18.40,23.05,18.20,19.35,539,21,19,11,18.60,50,32,76,18.80,50
"AAPL","2026-02-20",257.500,"CALL",2026-02-12T17:23:47.374,2026-02-12T15:59:50.807,17.95,17.95,6.55,7.35,932,137,4,7,6.80,50,30,69,7.55,50
"AAPL","2026-02-20",257.500,"CALL",2026-02-13T17:24:25.155,2026-02-13T15:59:47.178,7.15,7.15,3.15,3.18,5752,815,131,76,3.10,50,109,76,3.25,50
"AAPL","2026-02-20",257.500,"CALL",2026-02-17T17:17:45.791,2026-02-17T15:56:11.039,3.74,9.50,2.95,7.00,3155,764,20,5,7.40,50,47,60,7.65,50
"AAPL","2026-02-20",257.500,"CALL",2026-02-18T17:15:54.448,2026-02-18T15:58:55.376,7.00,9.50,6.17,7.70,4124,649,72,76,7.30,50,46,76,7.75,50
"AAPL","2026-02-20",257.500,"CALL",2026-02-19T17:23:22.183,2026-02-19T15:59:58.154,6.45,7.35,3.55,3.73,2294,419,58,76,3.75,50,102,76,3.95,50
"AAPL","2026-02-20",257.500,"CALL",2026-02-20T17:21:55.335,2026-02-20T15:52:49.14,2.69,7.64,1.81,6.67,6398,1015,23,4,6.75,50,18,69,7.60,50

