symbol,expiration,strike,right,created,last_trade,open,high,low,close,volume,count,bid_size,bid_exchange,bid,bid_condition,ask_size,ask_exchange,ask,ask_condition
"AAPL","2025-10-17",267.500,"CALL",2025-09-25T17:22:31.074,2025-09-25T15:58:35.817,1.24,2.27,1.13,2.13,334,78,47,43,2.11,50,1,69,2.20,50
"AAPL","2025-10-17",267.500,"CALL",2025-09-26T17:19:25.164,2025-09-26T15:58:19.901,1.51,1.86,1.36,1.39,317,106,46,42,1.34,50,45,5,1.47,50
"AAPL","2025-10-17",267.500,"CALL",2025-09-29T17:19:43.02,2025-09-29T15:54:00.382,1.20,1.20,0.96,1.06,444,90,41,31,1.04,50,11,42,1.07,50
"AAPL","2025-10-17",267.500,"CALL",2025-09-30T17:16:45.586,2025-09-30T15:54:20.741,1.06,1.26,0.87,1.09,211,78,41,1,0.98,50,41,1,1.02,50
"AAPL","2025-10-17",267.500,"CALL",2025-10-01T17:15:33.84,2025-10-01T15:59:57.622,1.26,2.03,1.14,1.14,1703,228,29,1,1.13,50,16,76,1.18,50
"AAPL","2025-10-17",267.500,"CALL",2025-10-02T17:15:51.105,2025-10-02T15:58:27.044,1.25,1.58,0.90,1.26,2019,247,181,76,1.18,50,42,43,1.31,50
"AAPL","2025-10-17",267.500,"CALL",2025-10-03T17:17:22.027,2025-10-03T15:58:17.901,0.82,1.64,0.70,1.16,2944,305,121,43,1.14,50,2,7,1.18,50
"AAPL","2025-10-17",267.500,"CALL",2025-10-06T17:15:57.486,2025-10-06T15:59:46.359,1.05,1.38,0.78,0.90,2801,307,13,46,0.89,50,10,11,0.91,50
"AAPL","2025-10-17",267.500,"CALL",2025-10-07T17:15:53.118,2025-10-07T15:59:22.276,0.92,0.94,0.62,0.69,1017,204,32,4,0.66,50,99,4,0.70,50
"AAPL","2025-10-17",267.500,"CALL",2025-10-08T17:15:04.028,2025-10-08T15:59:59.709,0.63,0.87,0.56,0.74,2696,369,250,1,0.74,50,128,42,0.76,50
"AAPL","2025-10-17",267.500,"CALL",2025-10-09T17:22:48.063,2025-10-09T15:59:52.002,0.59,0.64,0.32,0.34,4381,367,37,42,0.32,50,41,42,0.34,50
"AAPL","2025-10-17",267.500,"CALL",2025-10-10T17:21:55.676,2025-10-10T15:59:25.355,0.34,0.41,0.09,0.10,2539,488,149,60,0.10,50,113,42,0.11,50
"AAPL","2025-10-17",267.500,"CALL",2025-10-13T17:15:35.726,2025-10-13T15:57:10.741,0.11,0.11,0.04,0.04,2428,240,4,47,0.04,50,429,5,0.05,50
"AAPL","2025-10-17",267.500,"CALL",2025-10-14T17:17:06.143,2025-10-14T15:57:40.419,0.04,0.05,0.01,0.01,3426,357,137,7,0.01,50,27,1,0.02,50
"AAPL","2025-10-17",267.500,"CALL",2025-10-15T17:24:19.603,2025-10-15T15:53:42.016,0.02,0.03,0.01,0.01,1376,103,0,22,0.00,50,30,7,0.01,50
"AAPL","2025-10-17",267.500,"CALL",2025-10-16T17:15:32.255,2025-10-16T15:50:00.554,0.01,0.02,0.01,0.01,69,23,0,22,0.00,50,265,69,0.01,50
"AAPL","2025-10-17",267.500,"CALL",2025-10-17T17:24:13.516,2025-10-17T15:50:54.488,0.01,0.01,0.01,0.01,257,36,0,43,0.00,50,1342,76,0.01,50

