symbol,expiration,strike,right,created,last_trade,open,high,low,close,volume,count,bid_size,bid_exchange,bid,bid_condition,ask_size,ask_exchange,ask,ask_condition
"AAPL","2025-12-19",255.000,"CALL",2025-09-02T17:15:23.827,2025-09-02T15:59:20.663,3.80,4.10,3.40,3.70,148,52,48,65,3.65,50,59,4,3.80,50
"AAPL","2025-12-19",255.000,"CALL",2025-09-03T17:18:29.909,2025-09-03T15:57:58.922,5.80,6.05,4.94,5.93,5312,357,83,65,5.95,50,46,65,6.10,50
"AAPL","2025-12-19",255.000,"CALL",2025-09-04T17:15:03.374,2025-09-04T15:59:30.428,5.58,6.39,5.35,6.35,236,91,204,65,5.30,50,63,11,6.35,50
"AAPL","2025-12-19",255.000,"CALL",2025-09-05T17:15:16.498,2025-09-05T15:51:30.295,6.30,6.70,5.95,6.25,282,81,76,46,6.10,50,201,65,6.35,50
"AAPL","2025-12-19",255.000,"CALL",2025-09-08T17:24:30.039,2025-09-08T15:45:10.388,6.25,6.25,5.15,5.48,789,202,36,1,5.45,50,7,6,5.60,50
"AAPL","2025-12-19",255.000,"CALL",2025-09-09T17:22:06.571,2025-09-09T15:59:59.331,5.25,5.85,4.30,4.50,683,128,424,7,4.20,50,10,11,4.50,50
"AAPL","2025-12-19",255.000,"CALL",2025-09-10T17:21:04.64,2025-09-10T15:56:22.087,4.00,4.00,2.85,2.91,1124,163,2,7,2.89,50,3,7,2.94,50
"AAPL","2025-12-19",255.000,"CALL",2025-09-11T17:22:35.481,2025-09-11T15:54:52.182,2.98,3.45,2.92,3.45,264,71,26,5,3.30,50,5,9,3.40,50
"AAPL","2025-12-19",255.000,"CALL",2025-09-12T17:15:16.622,2025-09-12T15:59:51.882,3.18,4.60,3.18,4.50,2714,230,1305,76,4.45,50,33,43,4.55,50
"AAPL","2025-12-19",255.000,"CALL",2025-09-15T17:18:22.353,2025-09-15T15:56:01.837,5.35,5.66,4.80,5.10,1898,176,98,65,5.20,50,104,65,5.30,50
"AAPL","2025-12-19",255.000,"CALL",2025-09-16T17:18:44.68,2025-09-16T15:57:29.546,5.40,6.85,5.25,5.80,1253,177,2,60,5.75,50,5,9,5.85,50
"AAPL","2025-12-19",255.000,"CALL",2025-09-17T17:15:20.52,2025-09-17T15:59:47.062,6.05,6.30,5.45,5.60,528,98,77,46,5.60,50,16,6,5.70,50
"AAPL","2025-12-19",255.000,"CALL",2025-09-18T17:22:31.302,2025-09-18T15:58:37.724,5.70,5.70,4.95,5.35,2480,162,1,7,5.30,50,80,4,5.45,50
"AAPL","2025-12-19",255.000,"CALL",2025-09-19T17:23:40.265,2025-09-19T15:59:56.745,6.30,8.80,6.22,8.25,2552,274,10,11,8.15,50,5,7,8.25,50
"AAPL","2025-12-19",255.000,"CALL",2025-09-22T17:15:58.36,2025-09-22T15:59:20.55,10.00,14.52,9.95,14.14,4269,603,14,47,14.00,50,8,5,14.25,50
"AAPL","2025-12-19",255.000,"CALL",2025-09-23T17:24:20.296,2025-09-23T15:59:57.802,14.00,14.60,12.95,13.35,1082,209,22,69,13.20,50,1,46,13.35,50
"AAPL","2025-12-19",255.000,"CALL",2025-09-24T17:25:09.317,2025-09-24T15:59:42.463,13.50,13.50,11.35,11.84,2530,478,11,76,11.75,50,7,5,11.95,50
"AAPL","2025-12-19",255.000,"CALL",2025-09-25T17:22:31.074,2025-09-25T15:58:18.554,12.50,14.80,11.65,14.55,802,251,65,76,14.60,50,16,43,14.75,50
"AAPL","2025-12-19",255.000,"CALL",2025-09-26T17:19:25.164,2025-09-26T15:59:59.906,12.84,14.50,12.84,13.50,1282,260,1,1,13.45,50,15,43,13.65,50
"AAPL","2025-12-19",255.000,"CALL",2025-09-29T17:19:43.02,2025-09-29T15:58:42.002,12.90,13.00,12.00,12.60,479,173,5,7,12.60,50,1,31,12.70,50
"AAPL","2025-12-19",255.000,"CALL",2025-09-30T17:16:45.586,2025-09-30T15:53:56.644,12.92,13.40,11.98,12.80,595,201,15,4,12.45,50,10,11,12.65,50
"AAPL","2025-12-19",255.000,"CALL",2025-10-01T17:15:33.84,2025-10-01T15:54:04.794,13.01,15.20,12.85,13.29,3113,334,6,43,13.10,50,21,4,13.25,50
"AAPL","2025-12-19",255.000,"CALL",2025-10-02T17:15:51.105,2025-10-02T15:58:28.107,14.00,14.60,12.40,14.05,921,170,35,65,13.95,50,26,60,14.20,50
"AAPL","2025-12-19",255.000,"CALL",2025-10-03T17:17:22.027,2025-10-03T15:55:00.188,12.21,15.08,12.21,14.15,1337,179,29,11,14.15,50,10,11,14.30,50
"AAPL","2025-12-19",255.000,"CALL",2025-10-06T17:15:57.486,2025-10-06T15:54:12.308,14.01,14.80,12.70,13.80,8054,237,18,5,13.50,50,25,7,13.60,50
"AAPL","2025-12-19",255.000,"CALL",2025-10-07T17:15:53.118,2025-10-07T15:54:54.376,13.79,13.80,12.70,13.15,698,116,10,43,13.00,50,3,46,13.15,50
"AAPL","2025-12-19",255.000,"CALL",2025-10-08T17:15:04.028,2025-10-08T15:59:23.332,13.10,14.25,12.96,13.96,2263,155,41,11,13.85,50,17,11,14.00,50
"AAPL","2025-12-19",255.000,"CALL",2025-10-09T17:22:48.063,2025-10-09T15:59:53.096,13.00,13.05,11.35,11.65,1162,236,16,47,11.60,50,51,9,11.80,50
