symbol,expiration,strike,right,created,last_trade,open,high,low,close,volume,count,bid_size,bid_exchange,bid,bid_condition,ask_size,ask_exchange,ask,ask_condition
"AAPL","2025-10-17",262.500,"CALL",2025-09-22T17:15:58.36,2025-09-22T15:59:17.045,1.62,4.30,1.62,3.96,5373,823,35,5,3.85,50,38,5,3.95,50
"AAPL","2025-10-17",262.500,"CALL",2025-09-23T17:24:20.296,2025-09-23T15:59:33.1,4.00,4.25,2.78,3.00,1597,298,82,43,3.00,50,43,43,3.10,50
"AAPL","2025-10-17",262.500,"CALL",2025-09-24T17:25:09.317,2025-09-24T15:53:19.677,3.16,3.20,1.88,2.16,2793,243,7,5,2.05,50,13,7,2.26,50
"AAPL","2025-10-17",262.500,"CALL",2025-09-25T17:22:31.074,2025-09-25T15:57:01.109,2.50,3.85,1.97,3.48,1302,277,35,47,3.60,50,31,65,3.75,50
"AAPL","2025-10-17",262.500,"CALL",2025-09-26T17:19:25.164,2025-09-26T15:58:23.232,2.60,3.30,2.48,2.60,3203,259,44,47,2.55,50,38,47,2.68,50
"AAPL","2025-10-17",262.500,"CALL",2025-09-29T17:19:43.02,2025-09-29T15:59:47.219,2.25,2.28,1.85,2.03,1774,248,7,31,2.02,50,21,11,2.09,50
"AAPL","2025-10-17",262.500,"CALL",2025-09-30T17:16:45.586,2025-09-30T15:56:57.854,2.18,2.41,1.65,2.04,559,182,14,5,1.92,50,43,5,2.05,50
"AAPL","2025-10-17",262.500,"CALL",2025-10-01T17:15:33.84,2025-10-01T15:59:49.523,2.07,3.65,2.07,2.24,3030,511,60,46,2.20,50,150,43,2.30,50
"AAPL","2025-10-17",262.500,"CALL",2025-10-02T17:15:51.105,2025-10-02T15:59:56.6,2.42,3.02,1.82,2.59,2900,454,5,42,2.50,50,24,42,2.59,50
"AAPL","2025-10-17",262.500,"CALL",2025-10-03T17:17:22.027,2025-10-03T15:58:48.665,1.72,3.20,1.53,2.45,6119,792,10,4,2.46,50,5,7,2.51,50
"AAPL","2025-10-17",262.500,"CALL",2025-10-06T17:15:57.486,2025-10-06T15:59:57.08,2.38,2.87,1.64,1.96,4362,795,35,5,1.94,50,19,47,1.98,50
"AAPL","2025-10-17",262.500,"CALL",2025-10-07T17:15:53.118,2025-10-07T15:59:51.524,1.98,2.05,1.46,1.58,7875,632,21,4,1.57,50,36,4,1.66,50
"AAPL","2025-10-17",262.500,"CALL",2025-10-08T17:15:04.028,2025-10-08T15:59:08.46,1.55,2.07,1.40,1.88,3463,793,1,7,1.85,50,38,42,1.89,50
"AAPL","2025-10-17",262.500,"CALL",2025-10-09T17:22:48.063,2025-10-09T15:59:59.97,1.63,1.73,0.76,0.81,12044,1351,125,43,0.75,50,114,43,0.85,50
"AAPL","2025-10-17",262.500,"CALL",2025-10-10T17:21:55.676,2025-10-10T15:59:49.676,0.90,1.06,0.21,0.22,22025,1729,100,69,0.22,50,80,31,0.24,50
"AAPL","2025-10-17",262.500,"CALL",2025-10-13T17:15:35.726,2025-10-13T15:59:42.979,0.30,0.30,0.09,0.09,17726,1281,214,42,0.09,50,464,42,0.10,50
"AAPL","2025-10-17",262.500,"CALL",2025-10-14T17:17:06.143,2025-10-14T15:58:26.508,0.08,0.11,0.03,0.05,15157,1403,124,1,0.04,50,124,1,0.05,50
"AAPL","2025-10-17",262.500,"CALL",2025-10-15T17:24:19.603,2025-10-15T15:57:54.35,0.04,0.07,0.02,0.02,4866,562,116,22,0.02,50,163,46,0.03,50
"AAPL","2025-10-17",262.500,"CALL",2025-10-16T17:15:32.255,2025-10-16T15:59:58.714,0.01,0.03,0.01,0.01,2665,301,41,5,0.01,50,234,76,0.02,50
"AAPL","2025-10-17",262.500,"CALL",2025-10-17T17:24:13.516,2025-10-17T15:57:19.909,0.01,0.02,0.01,0.01,1396,149,0,9,0.00,50,1296,76,0.01,50

