symbol,expiration,strike,right,created,last_trade,open,high,low,close,volume,count,bid_size,bid_exchange,bid,bid_condition,ask_size,ask_exchange,ask,ask_condition
"AAPL","2025-11-21",265.000,"CALL",2025-09-02T17:15:23.827,2025-09-02T15:58:16.596,1.21,1.42,1.10,1.24,407,83,94,5,1.22,50,29,65,1.26,50
"AAPL","2025-11-21",265.000,"CALL",2025-09-03T17:18:29.909,2025-09-03T15:59:59.302,2.20,2.25,1.71,2.25,1291,238,21,5,2.20,50,17,65,2.28,50
"AAPL","2025-11-21",265.000,"CALL",2025-09-04T17:15:03.374,2025-09-04T15:59:58.865,2.33,2.47,1.87,2.33,1272,120,46,7,2.32,50,71,4,2.35,50
"AAPL","2025-11-21",265.000,"CALL",2025-09-05T17:15:16.498,2025-09-05T15:57:18.687,2.29,2.63,2.18,2.19,634,102,20,5,2.15,50,48,42,2.33,50
"AAPL","2025-11-21",265.000,"CALL",2025-09-08T17:24:30.039,2025-09-08T15:58:54.451,2.18,2.22,1.79,1.93,561,108,17,69,1.92,50,5,7,1.97,50
"AAPL","2025-11-21",265.000,"CALL",2025-09-09T17:22:06.571,2025-09-09T15:56:09.251,1.84,2.20,1.43,1.52,1357,168,10,11,1.47,50,24,11,1.52,50
"AAPL","2025-11-21",265.000,"CALL",2025-09-10T17:21:04.64,2025-09-10T15:59:37.308,1.27,1.27,0.92,0.96,1087,217,25,7,0.94,50,28,7,0.97,50
"AAPL","2025-11-21",265.000,"CALL",2025-09-11T17:22:35.481,2025-09-11T15:38:08.417,0.95,1.09,0.93,1.09,812,141,60,43,0.95,50,12,47,1.08,50
"AAPL","2025-11-21",265.000,"CALL",2025-09-12T17:15:16.622,2025-09-12T15:59:19.62,1.07,1.63,0.95,1.56,1811,167,60,7,1.50,50,12,76,1.58,50
"AAPL","2025-11-21",265.000,"CALL",2025-09-15T17:18:22.353,2025-09-15T15:59:03.427,1.83,2.09,1.67,1.86,768,158,35,46,1.88,50,50,65,1.92,50
"AAPL","2025-11-21",265.000,"CALL",2025-09-16T17:18:44.68,2025-09-16T15:52:00.021,1.99,2.70,1.90,2.25,1053,192,15,11,2.10,50,12,11,2.14,50
"AAPL","2025-11-21",265.000,"CALL",2025-09-17T17:15:20.52,2025-09-17T15:59:34.983,2.36,2.37,1.88,1.92,1075,187,108,42,1.92,50,32,46,1.97,50
"AAPL","2025-11-21",265.000,"CALL",2025-09-18T17:22:31.302,2025-09-18T15:57:21.146,2.06,2.16,1.62,1.81,580,102,10,43,1.79,50,19,7,1.83,50
"AAPL","2025-11-21",265.000,"CALL",2025-09-19T17:23:40.265,2025-09-19T15:59:40.668,2.29,3.65,2.24,3.35,5677,632,16,65,3.30,50,39,11,3.40,50
"AAPL","2025-11-21",265.000,"CALL",2025-09-22T17:15:58.36,2025-09-22T15:59:49.673,4.15,7.55,4.15,7.10,8594,1011,10,11,7.05,50,6,42,7.15,50
"AAPL","2025-11-21",265.000,"CALL",2025-09-23T17:24:20.296,2025-09-23T15:59:58.086,6.97,7.55,6.20,6.45,1771,335,16,60,6.45,50,109,11,6.75,50
"AAPL","2025-11-21",265.000,"CALL",2025-09-24T17:25:09.317,2025-09-24T15:59:46.424,6.55,6.75,5.05,5.38,901,261,26,4,5.30,50,4,7,5.40,50
"AAPL","2025-11-21",265.000,"CALL",2025-09-25T17:22:31.074,2025-09-25T15:59:24.776,5.80,7.48,5.25,7.35,1432,352,30,43,7.25,50,30,6,7.45,50
"AAPL","2025-11-21",265.000,"CALL",2025-09-26T17:19:25.164,2025-09-26T15:58:36.302,6.00,7.10,6.00,6.35,3193,440,39,65,6.30,50,26,76,6.50,50
"AAPL","2025-11-21",265.000,"CALL",2025-09-29T17:19:43.02,2025-09-29T15:58:50.648,5.76,5.95,5.40,5.79,1101,217,162,65,5.75,50,30,11,5.85,50
"AAPL","2025-11-21",265.000,"CALL",2025-09-30T17:16:45.586,2025-09-30T15:52:09.305,6.00,6.30,5.30,5.76,689,156,10,65,5.60,50,16,9,5.75,50
"AAPL","2025-11-21",265.000,"CALL",2025-10-01T17:15:33.84,2025-10-01T15:59:39.485,6.15,7.65,5.89,6.15,1057,267,46,43,6.10,50,62,43,6.20,50
"AAPL","2025-11-21",265.000,"CALL",2025-10-02T17:15:51.105,2025-10-02T15:59:51.705,6.49,7.20,5.65,6.76,1063,295,10,11,6.65,50,19,43,6.80,50
"AAPL","2025-11-21",265.000,"CALL",2025-10-03T17:17:22.027,2025-10-03T15:59:15.86,5.40,7.40,5.30,6.68,1546,379,13,4,6.65,50,5,4,6.75,50
"AAPL","2025-11-21",265.000,"CALL",2025-10-06T17:15:57.486,2025-10-06T15:56:24.028,6.56,7.17,5.70,6.45,1484,353,1,7,6.30,50,10,11,6.35,50
"AAPL","2025-11-21",265.000,"CALL",2025-10-07T17:15:53.118,2025-10-07T15:58:10.195,6.40,6.50,5.62,5.90,1123,273,5,7,5.85,50,15,4,6.00,50
"AAPL","2025-11-21",265.000,"CALL",2025-10-08T17:15:04.028,2025-10-08T15:58:37.308,5.84,6.75,5.78,6.50,1320,301,34,6,6.40,50,3,43,6.50,50
"AAPL","2025-11-21",265.000,"CALL",2025-10-09T17:22:48.063,2025-10-09T15:59:36.535,6.20,6.30,4.80,4.95,39156,806,23,43,4.95,50,30,11,5.05,50
"AAPL","2025-11-21",265.000,"CALL",2025-10-10T17:21:55.676,2025-10-10T15:59:47.484,5.05,5.70,3.00,3.06,3119,680,12,6,3.00,50,21,43,3.15,50
"AAPL","2025-11-21",265.000,"CALL",2025-10-13T17:15:35.726,2025-10-13T15:59:24.423,3.81,3.81,2.85,3.09,2579,447,51,69,3.00,50,23,69,3.10,50
"AAPL","2025-11-21",265.000,"CALL",2025-10-14T17:17:06.143,2025-10-14T15:59:57.463,3.11,3.45,2.69,3.17,1155,298,31,22,3.10,50,25,43,3.25,50
"AAPL","2025-11-21",265.000,"CALL",2025-10-15T17:24:19.603,2025-10-15T15:59:42.383,3.45,4.15,3.30,3.52,3005,253,26,65,3.50,50,10,76,3.60,50
"AAPL","2025-11-21",265.000,"CALL",2025-10-16T17:15:32.255,2025-10-16T15:59:37.831,3.25,3.30,2.79,3.15,1606,255,5,4,3.05,50,30,4,3.20,50
"AAPL","2025-11-21",265.000,"CALL",2025-10-17T17:24:13.516,2025-10-17T15:59:44.085,3.15,4.45,2.98,4.13,2580,628,10,22,4.10,50,10,4,4.20,50
"AAPL","2025-11-21",265.000,"CALL",2025-10-20T17:16:45.722,2025-10-20T15:59:42.105,5.00,9.16,5.00,7.90,13118,1893,1,7,7.85,50,3,7,7.95,50
"AAPL","2025-11-21",265.000,"CALL",2025-10-21T17:15:27.839,2025-10-21T15:59:37.77,7.90,9.68,7.15,7.78,5099,1305,26,4,7.60,50,13,4,7.75,50
"AAPL","2025-11-21",265.000,"CALL",2025-10-22T17:21:27.318,2025-10-22T15:59:54.7,7.68,7.68,4.90,5.65,3628,772,18,7,5.50,50,29,9,5.75,50
"AAPL","2025-11-21",265.000,"CALL",2025-10-23T17:25:06.011,2025-10-23T15:58:49.573,6.10,6.25,5.25,5.55,974,418,10,11,5.55,50,2,7,5.70,50
"AAPL","2025-11-21",265.000,"CALL",2025-10-24T17:16:22.383,2025-10-24T15:59:59.012,6.10,7.75,5.25,6.95,4582,1023,13,4,6.90,50,1,7,7.00,50
"AAPL","2025-11-21",265.000,"CALL",2025-10-27T17:18:01.767,2025-10-27T15:59:52.452,7.90,10.50,7.72,10.20,2559,898,19,5,10.10,50,16,4,10.25,50
"AAPL","2025-11-21",265.000,"CALL",2025-10-28T17:16:46.806,2025-10-28T15:58:57.635,10.39,10.80,9.65,10.15,1581,389,10,76,10.00,50,2,69,10.10,50
"AAPL","2025-11-21",265.000,"CALL",2025-10-29T17:19:59.977,2025-10-29T15:59:14.972,10.00,11.65,9.10,10.35,1861,495,44,4,10.30,50,28,69,10.85,50
"AAPL","2025-11-21",265.000,"CALL",2025-10-30T17:18:55.117,2025-10-30T15:59:59.202,11.90,13.30,9.68,11.25,3147,570,1,22,10.60,50,1,7,11.50,50
"AAPL","2025-11-21",265.000,"CALL",2025-10-31T17:16:37.262,2025-10-31T15:59:42.746,13.80,14.30,8.75,9.45,4041,536,56,76,9.15,50,15,42,9.55,50
"AAPL","2025-11-21",265.000,"CALL",2025-11-03T17:19:56.288,2025-11-03T15:59:51.02,9.15,9.35,6.60,8.09,1726,366,48,65,7.85,50,43,69,8.20,50
"AAPL","2025-11-21",265.000,"CALL",2025-11-04T17:22:03.729,2025-11-04T15:58:31.903,7.75,9.65,7.19,8.68,2421,332,108,76,8.55,50,68,76,8.95,50
"AAPL","2025-11-21",265.000,"CALL",2025-11-05T17:16:45.163,2025-11-05T15:58:18.672,6.90,9.07,6.70,8.42,578,166,10,60,8.35,50,30,11,8.50,50
"AAPL","2025-11-21",265.000,"CALL",2025-11-06T17:24:00.852,2025-11-06T15:59:24.98,7.37,10.85,6.95,8.33,845,265,18,4,8.25,50,45,76,8.50,50
"AAPL","2025-11-21",265.000,"CALL",2025-11-07T17:20:25.744,2025-11-07T15:59:17.573,8.45,10.00,6.16,7.03,2441,583,43,4,6.80,50,38,4,7.10,50
"AAPL","2025-11-21",265.000,"CALL",2025-11-10T17:15:10.965,2025-11-10T15:59:45.289,7.40,10.50,6.13,7.19,1193,327,47,42,7.05,50,20,11,7.25,50
"AAPL","2025-11-21",265.000,"CALL",2025-11-11T17:19:28.825,2025-11-11T15:58:48.544,8.10,12.14,7.95,11.56,2682,506,33,4,11.50,50,26,4,11.85,50
"AAPL","2025-11-21",265.000,"CALL",2025-11-12T17:17:26.909,2025-11-12T15:54:40.04,10.90,11.88,8.79,9.90,1491,313,2,7,9.80,50,17,11,10.05,50
"AAPL","2025-11-21",265.000,"CALL",2025-11-13T17:21:24.154,2025-11-13T15:59:47.232,10.60,12.75,8.95,9.74,1308,234,8,4,9.60,50,5,7,9.80,50
"AAPL","2025-11-21",265.000,"CALL",2025-11-14T17:20:41.551,2025-11-14T15:58:58.1,8.50,11.74,7.77,8.70,1276,201,11,11,8.75,50,70,69,9.10,50
"AAPL","2025-11-21",265.000,"CALL",2025-11-17T17:15:53.258,2025-11-17T15:59:57.167,6.00,6.95,4.00,4.80,4599,960,85,4,4.70,50,21,7,4.90,50
"AAPL","2025-11-21",265.000,"CALL",2025-11-18T17:22:32.21,2025-11-18T15:59:54.18,6.35,7.00,3.63,4.69,5065,1091,11,60,4.50,50,6,4,4.65,50
"AAPL","2025-11-21",265.000,"CALL",2025-11-19T17:23:01.677,2025-11-19T15:59:56.389,3.30,7.80,3.30,4.85,1812,612,46,42,4.80,50,32,42,5.00,50
"AAPL","2025-11-21",265.000,"CALL",2025-11-20T17:15:33.714,2025-11-20T15:59:26.644,7.50,10.55,2.70,2.70,4858,724,8,7,2.79,50,10,22,3.05,50
"AAPL","2025-11-21",265.000,"CALL",2025-11-21T17:23:14.025,2025-11-21T15:58:59.212,2.19,8.15,2.19,6.00,11501,1275,2,22,6.35,50,130,4,7.55,50

