symbol,expiration,strike,right,created,last_trade,open,high,low,close,volume,count,bid_size,bid_exchange,bid,bid_condition,ask_size,ask_exchange,ask,ask_condition
"AAPL","2025-11-21",262.500,"CALL",2025-10-20T17:16:45.722,2025-10-20T15:59:23.254,6.85,10.43,6.85,9.20,1133,374,3,7,9.05,50,2,7,9.20,50
"AAPL","2025-11-21",262.500,"CALL",2025-10-21T17:15:27.839,2025-10-21T15:59:45.16,9.00,11.00,9.00,9.08,1259,247,5,4,8.90,50,5,4,9.05,50
"AAPL","2025-11-21",262.500,"CALL",2025-10-22T17:21:27.318,2025-10-22T15:56:37.941,8.90,8.90,6.09,6.81,783,216,31,7,6.50,50,11,4,6.80,50
"AAPL","2025-11-21",262.500,"CALL",2025-10-23T17:25:06.011,2025-10-23T15:52:04.449,7.10,7.35,6.30,6.50,568,137,47,76,6.60,50,3,7,6.80,50
"AAPL","2025-11-21",262.500,"CALL",2025-10-24T17:16:22.383,2025-10-24T15:59:16.86,7.50,9.00,6.37,8.15,3532,391,10,4,8.15,50,11,4,8.30,50
"AAPL","2025-11-21",262.500,"CALL",2025-10-27T17:18:01.767,2025-10-27T15:55:41.389,9.78,12.00,9.17,11.89,261,132,13,11,11.65,50,35,6,11.80,50
"AAPL","2025-11-21",262.500,"CALL",2025-10-28T17:16:46.806,2025-10-28T15:59:42.052,11.80,12.25,11.10,11.65,339,76,57,4,11.45,50,80,11,11.70,50
"AAPL","2025-11-21",262.500,"CALL",2025-10-29T17:19:59.977,2025-10-29T15:53:35.248,12.03,13.05,10.45,12.40,79,41,10,43,12.05,50,15,7,12.60,50
"AAPL","2025-11-21",262.500,"CALL",2025-10-30T17:18:55.117,2025-10-30T15:59:45.537,13.80,14.74,11.32,13.00,517,96,28,60,11.85,50,79,4,14.55,50
"AAPL","2025-11-21",262.500,"CALL",2025-10-31T17:16:37.262,2025-10-31T15:57:55.029,15.95,16.20,10.40,11.40,455,118,41,65,10.90,50,18,5,11.30,50
"AAPL","2025-11-21",262.500,"CALL",2025-11-03T17:19:56.288,2025-11-03T15:56:48.661,11.10,11.10,8.10,9.53,348,92,42,60,9.60,50,39,7,10.00,50
"AAPL","2025-11-21",262.500,"CALL",2025-11-04T17:22:03.729,2025-11-04T15:57:28.334,9.15,11.41,8.78,10.50,203,59,32,11,10.25,50,29,76,10.80,50
"AAPL","2025-11-21",262.500,"CALL",2025-11-05T17:16:45.163,2025-11-05T15:30:55.281,8.85,11.00,8.30,9.75,687,167,30,76,10.10,50,13,47,10.30,50
"AAPL","2025-11-21",262.500,"CALL",2025-11-06T17:24:00.852,2025-11-06T15:59:48.183,8.80,12.35,8.80,10.10,213,62,18,4,9.95,50,22,4,10.30,50
"AAPL","2025-11-21",262.500,"CALL",2025-11-07T17:20:25.744,2025-11-07T15:59:09.086,9.96,11.86,7.65,8.70,266,74,55,76,8.45,50,29,4,8.80,50
"AAPL","2025-11-21",262.500,"CALL",2025-11-10T17:15:10.965,2025-11-10T15:59:16.761,10.03,12.07,8.75,9.10,416,74,19,4,8.90,50,5,7,9.10,50
"AAPL","2025-11-21",262.500,"CALL",2025-11-11T17:19:28.825,2025-11-11T15:58:18.006,9.70,14.29,9.70,13.72,710,136,40,7,13.65,50,21,4,14.05,50
"AAPL","2025-11-21",262.500,"CALL",2025-11-12T17:17:26.909,2025-11-12T15:43:11.726,12.24,13.90,10.89,12.42,49,31,4,76,11.90,50,30,11,12.25,50
"AAPL","2025-11-21",262.500,"CALL",2025-11-13T17:21:24.154,2025-11-13T15:45:11.21,14.93,14.93,11.20,12.00,215,56,18,47,11.65,50,12,76,12.00,50
"AAPL","2025-11-21",262.500,"CALL",2025-11-14T17:20:41.551,2025-11-14T15:59:56.486,10.25,14.20,9.33,10.94,425,100,31,42,10.85,50,66,69,11.30,50
"AAPL","2025-11-21",262.500,"CALL",2025-11-17T17:15:53.258,2025-11-17T15:57:31.986,8.05,8.80,5.56,6.55,1545,150,20,7,6.50,50,19,4,6.70,50
"AAPL","2025-11-21",262.500,"CALL",2025-11-18T17:22:32.21,2025-11-18T15:59:13.418,8.35,8.72,5.58,6.35,1334,172,4,7,6.30,50,12,76,6.50,50
"AAPL","2025-11-21",262.500,"CALL",2025-11-19T17:23:01.677,2025-11-19T15:45:53.233,5.60,10.05,5.40,7.87,1605,142,75,60,6.65,50,19,76,7.10,50
"AAPL","2025-11-21",262.500,"CALL",2025-11-20T17:15:33.714,2025-11-20T15:56:43.311,8.96,12.98,4.50,4.69,1943,322,19,4,4.55,50,5,7,4.75,50
"AAPL","2025-11-21",262.500,"CALL",2025-11-21T17:23:14.025,2025-11-21T15:59:56.153,4.75,10.70,4.51,9.00,841,218,201,4,7.95,50,16,69,9.60,50

