symbol,expiration,strike,right,created,last_trade,open,high,low,close,volume,count,bid_size,bid_exchange,bid,bid_condition,ask_size,ask_exchange,ask,ask_condition
"AAPL","2025-10-17",257.500,"CALL",2025-09-22T17:15:58.36,2025-09-22T15:59:56.97,2.79,6.45,2.79,6.05,9889,912,1,43,6.00,50,10,11,6.10,50
"AAPL","2025-10-17",257.500,"CALL",2025-09-23T17:24:20.296,2025-09-23T15:59:58.232,5.95,6.50,4.65,4.95,5030,1237,48,46,4.90,50,38,69,5.00,50
"AAPL","2025-10-17",257.500,"CALL",2025-09-24T17:25:09.317,2025-09-24T15:57:32.877,5.30,5.30,3.30,3.69,500,198,6,65,3.60,50,106,76,3.80,50
"AAPL","2025-10-17",257.500,"CALL",2025-09-25T17:22:31.074,2025-09-25T15:58:17.238,4.15,6.15,3.50,5.76,2922,572,17,43,5.80,50,19,65,6.05,50
"AAPL","2025-10-17",257.500,"CALL",2025-09-26T17:19:25.164,2025-09-26T15:59:24.909,4.45,5.60,4.25,4.58,2115,474,10,76,4.50,50,38,11,4.65,50
"AAPL","2025-10-17",257.500,"CALL",2025-09-29T17:19:43.02,2025-09-29T15:59:26.646,4.08,4.25,3.40,3.74,727,223,16,22,3.70,50,12,65,3.80,50
"AAPL","2025-10-17",257.500,"CALL",2025-09-30T17:16:45.586,2025-09-30T15:59:28.235,4.00,4.37,3.20,3.80,1112,303,11,11,3.60,50,6,9,3.75,50
"AAPL","2025-10-17",257.500,"CALL",2025-10-01T17:15:33.84,2025-10-01T15:59:52.227,3.95,6.05,3.95,4.10,5764,833,108,43,4.05,50,111,43,4.15,50
"AAPL","2025-10-17",257.500,"CALL",2025-10-02T17:15:51.105,2025-10-02T15:59:53.612,4.45,5.35,3.40,4.75,3602,722,19,65,4.60,50,24,42,4.80,50
"AAPL","2025-10-17",257.500,"CALL",2025-10-03T17:17:22.027,2025-10-03T15:59:26.395,3.35,5.61,3.08,4.72,4758,839,34,11,4.70,50,5,7,4.80,50
"AAPL","2025-10-17",257.500,"CALL",2025-10-06T17:15:57.486,2025-10-06T15:59:47.082,4.50,5.35,3.25,3.90,16170,1740,10,6,3.90,50,13,5,3.95,50
"AAPL","2025-10-17",257.500,"CALL",2025-10-07T17:15:53.118,2025-10-07T15:59:44.749,3.85,4.15,3.15,3.47,11360,1493,26,4,3.40,50,5050,69,3.50,50
"AAPL","2025-10-17",257.500,"CALL",2025-10-08T17:15:04.028,2025-10-08T15:59:49.7,3.35,4.35,3.15,3.99,14797,1415,68,6,3.95,50,30,11,4.05,50
"AAPL","2025-10-17",257.500,"CALL",2025-10-09T17:22:48.063,2025-10-09T15:59:58.764,3.85,3.85,1.84,1.99,16398,2441,52,43,1.97,50,30,7,2.01,50
"AAPL","2025-10-17",257.500,"CALL",2025-10-10T17:21:55.676,2025-10-10T15:59:38.736,2.23,2.69,0.54,0.54,25058,3706,2,7,0.56,50,15,7,0.58,50
"AAPL","2025-10-17",257.500,"CALL",2025-10-13T17:15:35.726,2025-10-13T15:59:57.663,0.78,0.90,0.28,0.30,13123,2817,146,42,0.29,50,1,1,0.30,50
"AAPL","2025-10-17",257.500,"CALL",2025-10-14T17:17:06.143,2025-10-14T15:59:54.084,0.26,0.34,0.14,0.21,17778,1654,1,46,0.20,50,27,1,0.21,50
"AAPL","2025-10-17",257.500,"CALL",2025-10-15T17:24:19.603,2025-10-15T15:59:35.14,0.22,0.49,0.11,0.13,17318,2770,75,4,0.12,50,155,7,0.13,50
"AAPL","2025-10-17",257.500,"CALL",2025-10-16T17:15:32.255,2025-10-16T15:59:46.397,0.08,0.08,0.02,0.03,9346,2681,69,7,0.02,50,203,4,0.03,50
"AAPL","2025-10-17",257.500,"CALL",2025-10-17T17:24:13.516,2025-10-17T15:59:59.878,0.01,0.03,0.01,0.01,5726,636,0,9,0.00,50,404,22,0.01,50

