symbol,expiration,strike,right,created,last_trade,open,high,low,close,volume,count,bid_size,bid_exchange,bid,bid_condition,ask_size,ask_exchange,ask,ask_condition
"AAPL","2026-01-16",257.500,"PUT",2025-12-22T17:17:17.491,2025-12-22T15:59:19.004,1.05,1.29,1.04,1.18,164,60,19,4,1.16,50,60,5,1.25,50
"AAPL","2026-01-16",257.500,"PUT",2025-12-23T17:17:52.375,2025-12-23T15:58:49.155,1.25,1.25,0.81,0.81,97,40,10,47,0.81,50,103,4,0.88,50
"AAPL","2026-01-16",257.500,"PUT",2025-12-24T17:15:35.759,2025-12-24T12:55:00.122,0.72,0.72,0.58,0.65,46,22,59,47,0.62,50,51,1,0.64,50
"AAPL","2026-01-16",257.500,"PUT",2025-12-26T17:18:01.491,2025-12-26T15:55:00.028,0.55,0.64,0.50,0.64,762,35,1,69,0.60,50,184,4,0.67,50
"AAPL","2026-01-16",257.500,"PUT",2025-12-29T17:18:27.929,2025-12-29T15:54:31.333,0.63,0.65,0.55,0.56,103,27,123,5,0.53,50,145,4,0.56,50
"AAPL","2026-01-16",257.500,"PUT",2025-12-30T17:21:38.111,2025-12-30T15:59:23.887,0.53,0.60,0.49,0.52,129,35,49,1,0.52,50,49,1,0.54,50
"AAPL","2026-01-16",257.500,"PUT",2025-12-31T17:23:06.869,2025-12-31T15:27:46.196,0.52,0.59,0.48,0.59,115,32,40,76,0.58,50,1,7,0.62,50
"AAPL","2026-01-16",257.500,"PUT",2026-01-02T17:17:27.572,2026-01-02T15:55:00.732,0.37,0.85,0.28,0.63,307,94,76,5,0.61,50,108,4,0.66,50
"AAPL","2026-01-16",257.500,"PUT",2026-01-05T17:15:23.794,2026-01-05T15:58:43.213,0.66,1.12,0.59,0.93,971,239,48,1,0.90,50,72,5,0.93,50
"AAPL","2026-01-16",257.500,"PUT",2026-01-06T17:18:20.877,2026-01-06T15:59:09.103,0.92,1.96,0.86,1.81,2371,385,60,5,1.81,50,63,5,1.91,50
"AAPL","2026-01-16",257.500,"PUT",2026-01-07T17:23:39.62,2026-01-07T15:59:53.112,1.61,2.65,1.56,2.42,4268,604,61,11,2.39,50,17,11,2.44,50
"AAPL","2026-01-16",257.500,"PUT",2026-01-08T17:20:04.215,2026-01-08T15:59:54.658,3.80,4.50,2.72,2.77,5591,1023,1,69,2.76,50,5,69,2.81,50
"AAPL","2026-01-16",257.500,"PUT",2026-01-09T17:24:17.924,2026-01-09T15:59:51.43,2.70,4.03,1.88,2.20,8774,1913,21,76,2.16,50,50,5,2.25,50
"AAPL","2026-01-16",257.500,"PUT",2026-01-12T17:24:19.845,2026-01-12T15:59:56.963,2.28,3.19,1.26,1.57,12334,2863,97,42,1.56,50,4,46,1.59,50
"AAPL","2026-01-16",257.500,"PUT",2026-01-13T17:19:19.707,2026-01-13T15:59:59.927,1.87,2.10,1.01,1.08,9766,2097,6,4,1.08,50,7,60,1.11,50
"AAPL","2026-01-16",257.500,"PUT",2026-01-14T17:19:45.086,2026-01-14T15:59:59.917,1.30,2.52,0.90,1.03,17643,3394,7,1,0.99,50,7,7,1.10,50
"AAPL","2026-01-16",257.500,"PUT",2026-01-15T17:23:02.134,2026-01-15T15:59:58.693,0.69,1.63,0.44,0.95,16828,3667,7,42,0.89,50,7,69,0.95,50
"AAPL","2026-01-16",257.500,"PUT",2026-01-16T17:16:06.032,2026-01-16T15:59:19.719,0.94,2.57,0.48,1.74,26432,6054,37,76,1.87,50,37,76,2.31,50

