symbol,expiration,strike,right,created,last_trade,open,high,low,close,volume,count,bid_size,bid_exchange,bid,bid_condition,ask_size,ask_exchange,ask,ask_condition
"AAPL","2025-12-19",252.500,"PUT",2025-11-24T17:20:14.919,2025-11-24T15:49:50.486,1.26,1.58,1.05,1.05,140,23,56,76,1.14,50,34,7,1.17,50
"AAPL","2025-12-19",252.500,"PUT",2025-11-25T17:22:32.466,2025-11-25T15:52:54.115,1.05,1.05,0.75,0.75,307,65,96,9,0.79,50,80,1,0.82,50
"AAPL","2025-12-19",252.500,"PUT",2025-11-26T17:15:30.257,2025-11-26T15:33:23.113,0.67,0.70,0.52,0.54,25,15,223,5,0.53,50,170,5,0.56,50
"AAPL","2025-12-19",252.500,"PUT",2025-11-28T17:25:12.489,2025-11-28T12:58:07.549,0.57,0.61,0.41,0.41,12,9,147,42,0.39,50,449,4,0.43,50
"AAPL","2025-12-19",252.500,"PUT",2025-12-01T17:23:04.504,2025-12-01T15:44:53.76,0.60,0.60,0.33,0.33,135,21,40,76,0.29,50,24,76,0.32,50
"AAPL","2025-12-19",252.500,"PUT",2025-12-02T17:15:18.719,2025-12-02T15:54:41.062,0.26,0.29,0.24,0.25,68,9,92,4,0.20,50,112,4,0.30,50
"AAPL","2025-12-19",252.500,"PUT",2025-12-03T17:19:14.083,2025-12-03T15:40:06.264,0.23,0.23,0.20,0.23,57,9,48,76,0.21,50,45,42,0.25,50
"AAPL","2025-12-19",252.500,"PUT",2025-12-04T17:19:47.118,2025-12-04T15:51:28.564,0.24,0.29,0.24,0.25,34,16,158,4,0.22,50,169,4,0.25,50
"AAPL","2025-12-19",252.500,"PUT",2025-12-05T17:17:27.22,2025-12-05T15:40:51.458,0.22,0.24,0.18,0.20,73,28,31,60,0.19,50,28,69,0.20,50
"AAPL","2025-12-19",252.500,"PUT",2025-12-08T17:16:12.602,2025-12-08T15:19:30.725,0.22,0.23,0.17,0.19,88,19,159,1,0.16,50,360,4,0.18,50
"AAPL","2025-12-19",252.500,"PUT",2025-12-09T17:17:23.994,2025-12-09T15:30:04.865,0.14,0.16,0.14,0.14,64,13,60,42,0.15,50,87,31,0.16,50
"AAPL","2025-12-19",252.500,"PUT",2025-12-10T17:18:55.721,2025-12-10T15:25:22.686,0.16,0.16,0.07,0.07,30,11,63,4,0.07,50,89,4,0.09,50
"AAPL","2025-12-19",252.500,"PUT",2025-12-11T17:15:46.12,2025-12-11T15:41:24.146,0.08,0.11,0.07,0.08,132,35,82,1,0.07,50,299,5,0.09,50
"AAPL","2025-12-19",252.500,"PUT",2025-12-12T17:16:38.02,2025-12-12T14:48:27.287,0.06,0.10,0.05,0.07,148,20,140,42,0.06,50,57,69,0.07,50
"AAPL","2025-12-19",252.500,"PUT",2025-12-15T17:19:33.181,2025-12-15T14:43:48.797,0.05,0.09,0.04,0.05,1121,60,16,7,0.04,50,228,42,0.05,50
"AAPL","2025-12-19",252.500,"PUT",2025-12-16T17:18:32.526,2025-12-16T15:51:36.548,0.05,0.06,0.02,0.03,139,26,339,5,0.02,50,160,11,0.04,50
"AAPL","2025-12-19",252.500,"PUT",2025-12-17T17:15:49.308,2025-12-17T15:59:11.542,0.02,0.04,0.02,0.03,17,14,299,4,0.03,50,202,5,0.05,50
"AAPL","2025-12-19",252.500,"PUT",2025-12-18T17:21:14.751,2025-12-18T15:35:52.248,0.04,0.06,0.01,0.02,142,42,263,7,0.01,50,5,69,0.03,50
"AAPL","2025-12-19",252.500,"PUT",2025-12-19T17:17:23.289,2025-12-19T12:40:05.177,0.07,0.07,0.01,0.01,64,17,0,7,0.00,50,6,7,0.01,50

