symbol,expiration,strike,right,created,last_trade,open,high,low,close,volume,count,bid_size,bid_exchange,bid,bid_condition,ask_size,ask_exchange,ask,ask_condition
"AAPL","2025-12-19",265.000,"PUT",2025-08-25T17:16:17.366,2025-08-25T00:00:00,0.00,0.00,0.00,0.00,0,0,107,7,37.60,50,7,7,38.15,50
"AAPL","2025-12-19",265.000,"PUT",2025-08-26T17:15:23.642,2025-08-26T00:00:00,0.00,0.00,0.00,0.00,0,0,100,60,35.50,50,5,7,36.20,50
"AAPL","2025-12-19",265.000,"PUT",2025-08-27T17:18:50.386,2025-08-27T00:00:00,0.00,0.00,0.00,0.00,0,0,61,1,34.50,50,6,7,35.05,50
"AAPL","2025-12-19",265.000,"PUT",2025-08-28T17:19:54.933,2025-08-28T15:55:00.012,32.45,32.45,32.45,32.45,2,2,25,5,32.30,50,12,7,33.25,50
"AAPL","2025-12-19",265.000,"PUT",2025-08-29T17:23:10.392,2025-08-29T00:00:00,0.00,0.00,0.00,0.00,0,0,22,43,32.55,50,29,43,33.95,50
"AAPL","2025-12-19",265.000,"PUT",2025-09-02T17:15:23.827,2025-09-02T00:00:00,0.00,0.00,0.00,0.00,0,0,10,4,35.30,50,10,4,36.75,50
"AAPL","2025-12-19",265.000,"PUT",2025-09-03T17:18:29.909,2025-09-03T15:43:31.532,30.31,30.31,28.35,28.35,136,8,124,4,27.20,50,27,65,28.00,50
"AAPL","2025-12-19",265.000,"PUT",2025-09-04T17:15:03.374,2025-09-04T09:48:11.693,26.85,26.85,26.85,26.85,1,1,42,11,26.35,50,56,5,26.75,50
"AAPL","2025-12-19",265.000,"PUT",2025-09-05T17:15:16.498,2025-09-05T00:00:00,0.00,0.00,0.00,0.00,0,0,15,5,26.40,50,37,65,26.85,50
"AAPL","2025-12-19",265.000,"PUT",2025-09-08T17:24:30.039,2025-09-08T15:27:39.675,26.90,29.30,26.90,28.85,70,18,8,7,27.85,50,100,4,28.65,50
"AAPL","2025-12-19",265.000,"PUT",2025-09-09T17:22:06.571,2025-09-09T13:31:23.352,29.43,29.80,28.80,28.80,66,8,35,4,30.90,50,35,43,31.50,50
"AAPL","2025-12-19",265.000,"PUT",2025-09-10T17:21:04.64,2025-09-10T15:27:03.272,35.95,38.65,35.95,38.65,166,6,121,7,37.65,50,128,7,38.95,50
"AAPL","2025-12-19",265.000,"PUT",2025-09-11T17:22:35.481,2025-09-11T14:53:10.818,35.80,35.96,35.11,35.24,4,4,8,5,34.85,50,9,5,35.80,50
"AAPL","2025-12-19",265.000,"PUT",2025-09-12T17:15:16.622,2025-09-12T15:06:41.443,32.00,32.00,31.16,31.43,12,5,34,65,31.35,50,23,5,31.75,50
