symbol,expiration,strike,right,created,last_trade,open,high,low,close,volume,count,bid_size,bid_exchange,bid,bid_condition,ask_size,ask_exchange,ask,ask_condition
"AAPL","2025-10-17",262.500,"PUT",2025-09-22T17:15:58.36,2025-09-22T15:32:23.751,13.80,13.80,9.47,9.70,100,28,49,4,9.00,50,10,11,9.60,50
"AAPL","2025-10-17",262.500,"PUT",2025-09-23T17:24:20.296,2025-09-23T15:55:21.777,8.95,10.98,8.85,10.58,87,31,114,43,9.85,50,85,43,10.45,50
"AAPL","2025-10-17",262.500,"PUT",2025-09-24T17:25:09.317,2025-09-24T12:43:33.337,11.05,12.25,11.05,12.20,53,23,7,5,11.30,50,3,7,11.85,50
"AAPL","2025-10-17",262.500,"PUT",2025-09-25T17:22:31.074,2025-09-25T15:01:02.084,11.70,11.70,9.06,9.06,40,13,15,43,8.05,50,77,60,9.05,50
"AAPL","2025-10-17",262.500,"PUT",2025-09-26T17:19:25.164,2025-09-26T15:51:20.028,10.20,10.20,8.20,9.35,82,25,10,76,9.05,50,39,5,9.55,50
"AAPL","2025-10-17",262.500,"PUT",2025-09-29T17:19:43.02,2025-09-29T11:54:00.108,10.00,10.50,10.00,10.50,14,8,15,31,9.50,50,16,31,9.65,50
"AAPL","2025-10-17",262.500,"PUT",2025-09-30T17:16:45.586,2025-09-30T15:18:49.146,9.50,10.10,9.00,10.10,82,25,11,7,9.25,50,13,43,9.80,50
"AAPL","2025-10-17",262.500,"PUT",2025-10-01T17:15:33.84,2025-10-01T15:54:40.131,7.45,8.65,7.45,8.65,68,15,46,43,8.70,50,14,4,8.85,50
"AAPL","2025-10-17",262.500,"PUT",2025-10-02T17:15:51.105,2025-10-02T15:55:41.751,9.00,9.65,7.00,7.40,48,9,13,76,7.15,50,82,43,7.60,50
"AAPL","2025-10-17",262.500,"PUT",2025-10-03T17:17:22.027,2025-10-03T15:41:24.875,8.55,8.55,6.20,6.50,114,50,5,7,6.50,50,10,11,6.65,50
"AAPL","2025-10-17",262.500,"PUT",2025-10-06T17:15:57.486,2025-10-06T15:58:40.423,6.65,8.64,6.00,7.45,141,49,30,5,7.40,50,14,43,7.50,50
"AAPL","2025-10-17",262.500,"PUT",2025-10-07T17:15:53.118,2025-10-07T15:57:55.233,7.10,8.08,6.80,7.45,63,23,10,11,7.15,50,15,11,7.40,50
"AAPL","2025-10-17",262.500,"PUT",2025-10-08T17:15:04.028,2025-10-08T15:56:27.737,6.80,6.80,5.80,5.97,109,39,66,6,5.95,50,20,11,6.10,50
"AAPL","2025-10-17",262.500,"PUT",2025-10-09T17:22:48.063,2025-10-09T15:42:06.783,6.15,9.70,6.15,9.32,1830,36,43,9,8.65,50,23,9,9.20,50
"AAPL","2025-10-17",262.500,"PUT",2025-10-10T17:21:55.676,2025-10-10T15:51:08.495,8.35,16.79,7.06,16.79,103,34,159,43,16.55,50,176,9,18.45,50
"AAPL","2025-10-17",262.500,"PUT",2025-10-13T17:15:35.726,2025-10-13T15:38:37.89,13.43,16.27,13.43,14.25,10,7,333,4,14.05,50,562,4,15.75,50
"AAPL","2025-10-17",262.500,"PUT",2025-10-14T17:17:06.143,2025-10-14T15:41:07.115,16.00,16.33,14.26,14.29,1714,14,17,4,14.25,50,15,11,15.00,50
"AAPL","2025-10-17",262.500,"PUT",2025-10-15T17:24:19.603,2025-10-15T11:56:11.903,12.54,13.30,11.39,13.30,8,8,24,5,12.80,50,114,60,13.65,50
"AAPL","2025-10-17",262.500,"PUT",2025-10-16T17:15:32.255,2025-10-16T14:47:44.4,16.30,16.30,16.30,16.30,110,1,112,4,14.40,50,127,4,15.45,50
"AAPL","2025-10-17",262.500,"PUT",2025-10-17T17:24:13.516,2025-10-17T00:00:00,0.00,0.00,0.00,0.00,0,0,112,60,8.80,50,106,4,12.00,50

