symbol,expiration,strike,right,created,last_trade,open,high,low,close,volume,count,bid_size,bid_exchange,bid,bid_condition,ask_size,ask_exchange,ask,ask_condition
"AAPL","2025-12-19",257.500,"CALL",2025-11-24T17:20:14.919,2025-11-24T11:45:41.551,19.40,20.20,18.95,20.20,23,9,4,7,20.50,50,8,76,20.55,50
"AAPL","2025-12-19",257.500,"CALL",2025-11-25T17:22:32.466,2025-11-25T15:54:40.102,23.35,23.85,21.95,21.95,28,8,76,43,20.15,50,21,4,21.55,50
"AAPL","2025-12-19",257.500,"CALL",2025-11-26T17:15:30.257,2025-11-26T15:53:04.686,22.25,23.05,21.75,21.75,13,8,106,60,20.85,50,21,11,21.80,50
"AAPL","2025-12-19",257.500,"CALL",2025-11-28T17:25:12.489,2025-11-28T12:56:40.317,20.78,22.55,20.78,22.55,3,2,42,42,22.60,50,15,43,22.75,50
"AAPL","2025-12-19",257.500,"CALL",2025-12-01T17:23:04.504,2025-12-01T15:40:39.454,22.17,25.55,22.00,25.55,6,5,19,76,26.75,50,137,4,27.75,50
"AAPL","2025-12-19",257.500,"CALL",2025-12-02T17:15:18.719,2025-12-02T14:55:35.66,27.20,30.02,26.85,30.02,65,16,118,4,28.55,50,172,4,30.70,50
"AAPL","2025-12-19",257.500,"CALL",2025-12-03T17:19:14.083,2025-12-03T15:44:18.329,30.82,30.82,27.85,27.85,12,7,236,4,26.55,50,15,76,27.70,50
"AAPL","2025-12-19",257.500,"CALL",2025-12-04T17:19:47.118,2025-12-04T15:54:40.105,27.15,27.15,22.60,23.30,20,8,12,47,23.90,50,275,4,25.05,50
"AAPL","2025-12-19",257.500,"CALL",2025-12-05T17:17:27.22,2025-12-05T15:41:10.796,24.20,24.20,21.50,22.25,26,15,266,4,21.30,50,283,4,22.75,50
"AAPL","2025-12-19",257.500,"CALL",2025-12-08T17:16:12.602,2025-12-08T15:54:30.049,21.15,21.15,19.57,20.85,27,14,122,4,20.10,50,17,11,21.25,50
"AAPL","2025-12-19",257.500,"CALL",2025-12-09T17:17:23.994,2025-12-09T10:36:46.893,21.50,21.50,20.59,20.59,9,4,267,4,19.80,50,63,5,20.60,50
"AAPL","2025-12-19",257.500,"CALL",2025-12-10T17:18:55.721,2025-12-10T15:51:51.804,21.31,22.53,21.31,22.23,11,11,133,4,21.20,50,216,4,22.50,50
"AAPL","2025-12-19",257.500,"CALL",2025-12-11T17:15:46.12,2025-12-11T14:42:05.565,17.61,21.03,17.61,20.92,18,12,293,4,19.95,50,310,4,22.15,50
"AAPL","2025-12-19",257.500,"CALL",2025-12-12T17:16:38.02,2025-12-12T15:09:44.539,21.80,21.80,20.72,21.35,5,5,189,4,20.15,50,161,4,21.80,50
"AAPL","2025-12-19",257.500,"CALL",2025-12-15T17:19:33.181,2025-12-15T14:55:47.438,18.60,18.60,16.34,16.35,13,6,39,42,16.55,50,167,9,17.50,50
"AAPL","2025-12-19",257.500,"CALL",2025-12-16T17:18:32.526,2025-12-16T12:08:12.612,16.28,16.62,15.62,16.62,13,13,73,46,16.90,50,299,4,18.35,50
"AAPL","2025-12-19",257.500,"CALL",2025-12-17T17:15:49.308,2025-12-17T15:25:14.442,18.25,18.25,16.38,16.47,9,6,24,5,13.65,50,45,5,15.55,50
"AAPL","2025-12-19",257.500,"CALL",2025-12-18T17:21:14.751,2025-12-18T15:08:32.399,12.09,15.40,11.38,13.67,19,11,310,4,13.75,50,297,4,16.05,50
"AAPL","2025-12-19",257.500,"CALL",2025-12-19T17:17:23.289,2025-12-19T14:13:10.171,13.75,14.58,13.62,13.62,7,6,109,76,14.75,50,105,7,17.55,50

