symbol,expiration,strike,right,created,last_trade,open,high,low,close,volume,count,bid_size,bid_exchange,bid,bid_condition,ask_size,ask_exchange,ask,ask_condition
"AAPL","2026-01-16",262.500,"PUT",2025-12-22T17:17:17.491,2025-12-22T15:59:39.446,1.75,2.17,1.75,2.01,603,201,34,5,1.97,50,62,4,2.10,50
"AAPL","2026-01-16",262.500,"PUT",2025-12-23T17:17:52.375,2025-12-23T15:55:52.569,2.02,2.28,1.49,1.49,494,80,62,4,1.41,50,89,4,1.56,50
"AAPL","2026-01-16",262.500,"PUT",2025-12-24T17:15:35.759,2025-12-24T12:58:22.864,1.46,1.46,1.01,1.18,188,77,7,76,1.14,50,3,69,1.17,50
"AAPL","2026-01-16",262.500,"PUT",2025-12-26T17:18:01.491,2025-12-26T15:59:23.902,1.05,1.23,0.92,1.20,435,80,132,4,1.09,50,44,4,1.23,50
"AAPL","2026-01-16",262.500,"PUT",2025-12-29T17:18:27.929,2025-12-29T15:59:48.395,1.23,1.26,1.02,1.04,265,95,60,1,1.00,50,60,1,1.04,50
"AAPL","2026-01-16",262.500,"PUT",2025-12-30T17:21:38.111,2025-12-30T15:59:33.904,1.14,1.16,0.94,1.01,240,103,32,1,1.00,50,32,1,1.03,50
"AAPL","2026-01-16",262.500,"PUT",2025-12-31T17:23:06.869,2025-12-31T15:59:13.156,0.97,1.16,0.90,1.14,468,136,27,4,1.12,50,47,4,1.24,50
"AAPL","2026-01-16",262.500,"PUT",2026-01-02T17:17:27.572,2026-01-02T15:59:55.742,0.95,1.68,0.47,1.24,1135,176,65,5,1.21,50,59,5,1.27,50
"AAPL","2026-01-16",262.500,"PUT",2026-01-05T17:15:23.794,2026-01-05T15:54:57.317,1.17,2.27,1.17,2.06,898,281,16,47,1.84,50,41,76,1.89,50
"AAPL","2026-01-16",262.500,"PUT",2026-01-06T17:18:20.877,2026-01-06T15:59:17.765,1.88,3.80,1.88,3.61,4362,778,27,69,3.65,50,50,42,3.75,50
"AAPL","2026-01-16",262.500,"PUT",2026-01-07T17:23:39.62,2026-01-07T15:59:58.791,3.15,5.00,3.15,4.60,4141,692,26,5,4.60,50,50,5,4.70,50
"AAPL","2026-01-16",262.500,"PUT",2026-01-08T17:20:04.215,2026-01-08T15:59:54.97,6.85,7.75,5.25,5.33,1557,252,15,7,5.30,50,47,76,5.45,50
"AAPL","2026-01-16",262.500,"PUT",2026-01-09T17:24:17.924,2026-01-09T15:59:51.429,5.30,7.20,4.25,4.75,1858,375,6,4,4.70,50,50,5,5.00,50
"AAPL","2026-01-16",262.500,"PUT",2026-01-12T17:24:19.845,2026-01-12T15:59:41.519,4.75,6.35,3.35,3.90,1900,409,71,76,3.80,50,46,11,3.95,50
"AAPL","2026-01-16",262.500,"PUT",2026-01-13T17:19:19.707,2026-01-13T15:56:40.514,4.85,4.85,2.92,3.15,1641,413,23,69,3.00,50,42,76,3.20,50
"AAPL","2026-01-16",262.500,"PUT",2026-01-14T17:19:45.086,2026-01-14T15:59:57.978,4.05,6.00,2.64,3.35,2830,637,12,76,3.30,50,18,76,3.50,50
"AAPL","2026-01-16",262.500,"PUT",2026-01-15T17:23:02.134,2026-01-15T15:59:51.826,2.97,5.39,2.50,4.47,1717,542,17,76,3.95,50,37,76,4.40,50
"AAPL","2026-01-16",262.500,"PUT",2026-01-16T17:16:06.032,2026-01-16T15:57:30.805,4.45,7.34,3.82,6.90,2096,453,14,11,6.00,50,20,69,7.10,50

