symbol,expiration,strike,right,created,last_trade,open,high,low,close,volume,count,bid_size,bid_exchange,bid,bid_condition,ask_size,ask_exchange,ask,ask_condition
"AAPL","2026-01-16",262.500,"CALL",2025-12-22T17:17:17.491,2025-12-22T15:55:00.08,13.80,13.82,11.30,11.30,79,22,20,76,11.15,50,15,43,11.35,50
"AAPL","2026-01-16",262.500,"CALL",2025-12-23T17:17:52.375,2025-12-23T15:37:56.931,11.40,12.17,11.20,12.05,53,16,20,4,11.65,50,10,7,12.25,50
"AAPL","2026-01-16",262.500,"CALL",2025-12-24T17:15:35.759,2025-12-24T12:55:00.108,13.62,14.55,13.30,13.55,180,38,17,11,13.25,50,25,76,13.40,50
"AAPL","2026-01-16",262.500,"CALL",2025-12-26T17:18:01.491,2025-12-26T15:53:40.451,13.75,14.15,12.58,12.58,57,26,19,69,12.40,50,20,69,13.05,50
"AAPL","2026-01-16",262.500,"CALL",2025-12-29T17:18:27.929,2025-12-29T15:35:52.307,13.20,13.20,12.53,12.96,120,33,4,7,12.90,50,10,7,13.05,50
"AAPL","2026-01-16",262.500,"CALL",2025-12-30T17:21:38.111,2025-12-30T15:45:43.298,12.50,12.54,11.65,12.22,70,33,14,76,12.05,50,5,7,12.20,50
"AAPL","2026-01-16",262.500,"CALL",2025-12-31T17:23:06.869,2025-12-31T15:56:02.061,11.80,12.07,11.25,11.45,70,30,28,9,10.90,50,25,76,11.25,50
"AAPL","2026-01-16",262.500,"CALL",2026-01-02T17:17:27.572,2026-01-02T15:55:00.058,11.49,15.89,8.90,10.00,202,65,8,11,10.10,50,40,5,10.25,50
"AAPL","2026-01-16",262.500,"CALL",2026-01-05T17:15:23.794,2026-01-05T15:59:41.423,8.40,10.08,6.45,6.90,564,84,12,47,6.90,50,20,76,7.05,50
"AAPL","2026-01-16",262.500,"CALL",2026-01-06T17:18:20.877,2026-01-06T15:59:51.137,6.77,6.77,3.83,3.85,3365,769,1,46,3.80,50,96,4,3.90,50
"AAPL","2026-01-16",262.500,"CALL",2026-01-07T17:23:39.62,2026-01-07T15:59:59.376,4.35,4.50,2.64,2.82,11907,1608,49,5,2.78,50,21,1,2.83,50
"AAPL","2026-01-16",262.500,"CALL",2026-01-08T17:20:04.215,2026-01-08T15:59:59.593,1.63,2.30,1.31,2.20,19364,3032,8,7,2.20,50,2,7,2.24,50
"AAPL","2026-01-16",262.500,"CALL",2026-01-09T17:24:17.924,2026-01-09T15:59:59.986,2.09,2.46,1.17,1.78,23931,4162,175,1,1.78,50,7,4,1.82,50
"AAPL","2026-01-16",262.500,"CALL",2026-01-12T17:24:19.845,2026-01-12T15:59:53.212,1.81,2.55,0.94,1.83,39589,8225,1,46,1.79,50,8,11,1.81,50
"AAPL","2026-01-16",262.500,"CALL",2026-01-13T17:19:19.707,2026-01-13T15:59:59.928,1.46,2.40,1.01,1.80,47394,8657,13,60,1.79,50,2,7,1.82,50
"AAPL","2026-01-16",262.500,"CALL",2026-01-14T17:19:45.086,2026-01-14T15:59:59.489,1.79,2.15,0.47,1.12,41736,6609,10,31,1.05,50,7,1,1.13,50
"AAPL","2026-01-16",262.500,"CALL",2026-01-15T17:23:02.134,2026-01-15T15:59:59.964,1.05,1.16,0.13,0.17,49946,6992,109,1,0.17,50,21,22,0.19,50
"AAPL","2026-01-16",262.500,"CALL",2026-01-16T17:16:06.032,2026-01-16T15:57:49.137,0.08,0.30,0.01,0.01,15084,1750,0,43,0.00,50,1140,22,0.01,50

